Sample_Index,Actual_RUL,Predicted_RUL,Condition_Label
78,78,81.83487,NORMAL
79,114,58.654854,NORMAL
80,96,114.188194,NORMAL
81,10,20.85659,WARNING
82,125,118.75148,NORMAL
83,125,113.85356,NORMAL
84,115,116.4013,NORMAL
85,70,43.76149,WARNING
86,94,112.29464,NORMAL
87,56,64.692635,NORMAL
88,86,78.583694,NORMAL
89,96,70.65863,NORMAL
90,50,41.472145,WARNING
91,73,74.96535,NORMAL
92,125,120.90922,NORMAL
93,125,118.72955,NORMAL
94,125,119.16996,NORMAL
95,71,91.97931,NORMAL
96,105,106.639,NORMAL
97,113,107.43802,NORMAL
98,37,31.60873,WARNING
99,7,9.309214,CRITICAL
100,13,13.5203085,CRITICAL
101,22,15.70173,CRITICAL
102,9,26.69157,WARNING
103,120,121.99435,NORMAL
104,100,91.49717,NORMAL
105,107,55.737488,NORMAL
106,41,115.75842,NORMAL
107,125,118.77446,NORMAL
108,125,122.06714,NORMAL
109,59,59.655304,NORMAL
110,18,15.472998,CRITICAL
111,66,76.50369,NORMAL
112,13,18.324793,CRITICAL
113,14,18.428524,CRITICAL
114,125,84.97274,NORMAL
115,13,16.51559,CRITICAL
116,75,109.746635,NORMAL
117,8,10.547766,CRITICAL
118,109,50.027306,NORMAL
119,125,83.6416,NORMAL
120,41,24.196037,WARNING
121,125,123.3807,NORMAL
122,23,27.649113,WARNING
123,86,66.337845,NORMAL
124,125,71.99494,NORMAL
125,15,14.436112,CRITICAL
126,125,111.65492,NORMAL
127,125,119.78056,NORMAL
128,120,96.70038,NORMAL
129,125,89.82238,NORMAL
130,101,72.06668,NORMAL
131,116,113.81321,NORMAL
132,125,120.23199,NORMAL
133,36,25.00695,WARNING
134,7,8.881216,CRITICAL
135,122,120.62064,NORMAL
136,125,92.78308,NORMAL
137,88,76.08876,NORMAL
138,125,120.78266,NORMAL
139,125,82.53887,NORMAL
140,125,118.29091,NORMAL
141,108,113.9841,NORMAL
142,53,40.567654,WARNING
143,125,86.07706,NORMAL
144,59,53.13296,NORMAL
145,100,124.56764,NORMAL
146,56,82.38828,NORMAL
147,125,94.849945,NORMAL
148,76,59.42684,NORMAL
149,57,34.21101,WARNING
150,31,13.446595,CRITICAL
151,88,108.59559,NORMAL
152,125,111.51037,NORMAL
153,34,38.112877,WARNING
154,7,20.874374,WARNING
155,125,119.609764,NORMAL
156,125,120.22195,NORMAL
157,6,8.798769,CRITICAL
158,22,27.680592,WARNING
159,83,113.52459,NORMAL
160,82,73.96995,NORMAL
161,84,80.95832,NORMAL
162,95,96.52115,NORMAL
163,125,118.347046,NORMAL
164,111,109.8007,NORMAL
165,72,110.43922,NORMAL
166,109,115.52827,NORMAL
167,87,116.78101,NORMAL
168,125,98.981606,NORMAL
169,125,118.9957,NORMAL
170,125,96.714226,NORMAL
171,12,42.511147,WARNING
172,8,9.539833,CRITICAL
173,10,17.32531,CRITICAL
174,123,107.72071,NORMAL
175,103,67.67174,NORMAL
176,12,48.97516,WARNING
177,106,120.31511,NORMAL
178,12,9.626926,CRITICAL
179,32,15.736094,CRITICAL
180,37,17.626266,CRITICAL
181,116,119.21177,NORMAL
182,15,9.510171,CRITICAL
183,10,11.217911,CRITICAL
184,46,73.017975,NORMAL
185,125,88.58733,NORMAL
186,24,32.37584,WARNING
187,125,109.1627,NORMAL
188,56,77.40072,NORMAL
189,43,50.111984,NORMAL
190,125,106.00358,NORMAL
191,71,73.63453,NORMAL
192,104,80.685036,NORMAL
193,15,15.584808,CRITICAL
194,125,119.92321,NORMAL
195,89,116.40468,NORMAL
196,36,26.118683,WARNING
197,11,9.510171,CRITICAL
198,92,59.81477,NORMAL
199,96,103.07298,NORMAL
200,59,118.974754,NORMAL
201,13,8.517828,CRITICAL
202,125,122.13491,NORMAL
203,125,118.87707,NORMAL
204,125,88.251915,NORMAL
205,109,98.63911,NORMAL
206,116,118.0868,NORMAL
207,91,77.45611,NORMAL
208,11,16.364563,CRITICAL
209,88,97.66862,NORMAL
210,108,122.74869,NORMAL
211,76,77.955666,NORMAL
212,14,9.560253,CRITICAL
213,89,80.018105,NORMAL
214,125,114.187065,NORMAL
215,17,12.700043,CRITICAL
216,66,110.076805,NORMAL
217,125,95.58849,NORMAL
218,41,38.806328,WARNING
219,125,103.52044,NORMAL
220,73,66.35825,NORMAL
221,39,54.85611,NORMAL
222,58,43.326477,WARNING
223,14,14.955507,CRITICAL
224,125,120.6587,NORMAL
225,88,112.03442,NORMAL
226,125,121.921364,NORMAL
227,125,118.94497,NORMAL
228,120,120.69966,NORMAL
229,98,115.54999,NORMAL
230,33,26.360031,WARNING
231,125,121.00806,NORMAL
232,110,107.8016,NORMAL
233,68,77.799416,NORMAL
234,24,20.664463,WARNING
235,75,103.015884,NORMAL
236,18,13.325362,CRITICAL
237,16,12.437724,CRITICAL
238,125,117.85584,NORMAL
239,98,30.545471,WARNING
240,125,115.7837,NORMAL
241,81,91.43833,NORMAL
242,118,108.122894,NORMAL
243,35,30.49738,WARNING
244,125,114.32276,NORMAL
245,125,122.171585,NORMAL
246,112,73.72397,NORMAL
247,26,25.302376,WARNING
