Sample_Index,Actual_RUL,Predicted_RUL,Condition_Label
96,31,26.265747,WARNING
97,97,74.880104,NORMAL
98,9,7.2172604,CRITICAL
99,14,25.199959,WARNING
100,106,108.72938,NORMAL
101,8,6.741387,CRITICAL
102,8,6.6848373,CRITICAL
103,106,78.27755,NORMAL
104,116,113.28855,NORMAL
105,120,96.89976,NORMAL
106,61,60.998848,NORMAL
107,125,104.58993,NORMAL
108,35,40.134254,WARNING
109,80,103.885506,NORMAL
110,9,11.726972,CRITICAL
111,50,71.85041,NORMAL
112,125,123.74948,NORMAL
113,78,81.646065,NORMAL
114,91,56.520645,NORMAL
115,7,6.6248083,CRITICAL
116,125,92.99506,NORMAL
117,125,116.28487,NORMAL
118,106,114.93185,NORMAL
119,15,20.20964,WARNING
120,67,107.3912,NORMAL
121,125,109.47758,NORMAL
122,125,116.035736,NORMAL
123,7,8.875667,CRITICAL
124,125,107.21809,NORMAL
125,124,116.73105,NORMAL
126,82,93.85514,NORMAL
127,108,119.98592,NORMAL
128,79,68.92373,NORMAL
129,121,106.11735,NORMAL
130,120,113.21044,NORMAL
131,39,40.894936,WARNING
132,38,80.65385,NORMAL
133,9,6.741387,CRITICAL
134,125,119.90368,NORMAL
135,87,87.16311,NORMAL
136,88,105.12278,NORMAL
137,7,6.409402,CRITICAL
138,51,106.23621,NORMAL
139,55,57.056225,NORMAL
140,125,118.34029,NORMAL
141,47,39.873447,WARNING
142,81,88.70537,NORMAL
143,43,41.125854,WARNING
144,98,109.66924,NORMAL
145,10,10.089255,CRITICAL
146,92,95.870445,NORMAL
147,11,18.380884,CRITICAL
148,125,99.30084,NORMAL
149,34,39.812042,WARNING
150,115,85.72722,NORMAL
151,59,95.64277,NORMAL
152,99,97.89983,NORMAL
153,103,108.62986,NORMAL
154,108,103.889824,NORMAL
155,83,109.77033,NORMAL
156,125,123.81338,NORMAL
157,15,14.566213,CRITICAL
158,9,6.576816,CRITICAL
159,42,33.483566,WARNING
160,13,21.604328,WARNING
161,41,55.44765,NORMAL
162,88,59.780754,NORMAL
163,14,6.741387,CRITICAL
164,125,116.264046,NORMAL
165,125,105.14113,NORMAL
166,96,85.10124,NORMAL
167,82,84.5259,NORMAL
168,125,94.7053,NORMAL
169,125,85.41605,NORMAL
170,36,27.610523,WARNING
171,107,121.3057,NORMAL
172,14,10.985485,CRITICAL
173,95,68.89652,NORMAL
174,125,114.0316,NORMAL
175,23,23.683079,WARNING
176,6,6.741387,CRITICAL
177,125,113.88736,NORMAL
178,35,49.51333,WARNING
179,97,104.45565,NORMAL
180,68,70.64877,NORMAL
181,14,8.080475,CRITICAL
182,67,69.82943,NORMAL
183,125,124.13462,NORMAL
184,19,6.741387,CRITICAL
185,10,6.741387,CRITICAL
186,125,116.82217,NORMAL
187,125,112.25836,NORMAL
188,43,55.57881,NORMAL
189,12,14.125579,CRITICAL
190,125,115.132256,NORMAL
191,13,16.458652,CRITICAL
192,37,35.656147,WARNING
193,122,118.37446,NORMAL
194,80,54.440826,NORMAL
195,93,120.099396,NORMAL
196,125,121.847885,NORMAL
197,32,51.2235,NORMAL
198,103,119.19958,NORMAL
199,125,92.11494,NORMAL
200,111,120.18138,NORMAL
201,68,92.8968,NORMAL
202,125,115.506096,NORMAL
203,121,121.3689,NORMAL
204,125,95.24665,NORMAL
205,48,38.45555,WARNING
206,85,113.870705,NORMAL
207,8,6.741387,CRITICAL
208,23,25.807076,WARNING
209,8,7.131725,CRITICAL
210,6,6.741387,CRITICAL
211,57,43.14302,WARNING
212,83,69.96929,NORMAL
213,125,109.957726,NORMAL
214,101,88.9147,NORMAL
215,81,90.682655,NORMAL
216,86,117.660484,NORMAL
217,125,125.93378,NORMAL
218,73,113.84831,NORMAL
219,121,117.16409,NORMAL
220,125,92.48545,NORMAL
221,75,55.046642,NORMAL
222,125,126.18434,NORMAL
223,125,122.5687,NORMAL
224,11,6.9369373,CRITICAL
225,108,92.622406,NORMAL
226,14,6.698287,CRITICAL
227,125,85.357506,NORMAL
228,61,98.10334,NORMAL
229,85,113.520096,NORMAL
230,8,6.741387,CRITICAL
231,101,89.89158,NORMAL
232,125,111.38851,NORMAL
233,89,120.38525,NORMAL
234,125,81.715996,NORMAL
235,12,6.741387,CRITICAL
236,62,46.66824,WARNING
237,125,124.75985,NORMAL
238,101,100.34683,NORMAL
239,121,100.76501,NORMAL
240,125,124.830475,NORMAL
241,17,6.853979,CRITICAL
242,125,123.3204,NORMAL
243,125,121.419395,NORMAL
244,16,6.741387,CRITICAL
245,125,118.88987,NORMAL
246,125,125.033844,NORMAL
247,56,66.93082,NORMAL
248,111,121.90962,NORMAL
249,23,7.223316,CRITICAL
250,84,119.702866,NORMAL
251,12,6.741387,CRITICAL
252,43,60.153603,NORMAL
253,48,35.77546,WARNING
254,122,90.69009,NORMAL
255,125,61.658276,NORMAL
256,56,48.884216,WARNING
257,125,103.44404,NORMAL
258,51,104.64898,NORMAL
